amount,norm_amount,game_id,user_id
4.9,0.05903614457831326,0,0
13.6,0.018758620689655173,3,0
62.0,0.30097087378640774,2,0
271.0,0.8017751479289941,12,1
3.4,0.25757575757575757,16,1
24.0,0.05853658536585366,5,1
0.8,0.00963855421686747,0,1
22.0,0.08494208494208494,6,1
1.8,0.05142857142857143,15,1
15.0,0.020689655172413793,3,1
165.0,0.13819095477386933,9,1
1.2,0.01818181818181818,13,1
15.9,0.03412017167381974,10,1
65.0,0.037037037037037035,8,1
5.7,0.10754716981132076,14,1
0.4,0.02,18,1
12.5,0.006572029442691903,7,1
13.1,0.019208211143695014,4,1
9.7,0.0054926387315968285,11,1
0.6,0.0032967032967032967,31,2
0.9,0.001101591187270502,90,2
0.6,0.020689655172413793,43,2
8.2,0.1894736842105263,157,2
0.9,0.00569620253164557,54,2
1.6,0.09142857142857143,126,2
1.3,0.0962962962962963,103,2
8.5,0.00589050589050589,105,2
2.9,0.055769230769230765,46,2
0.3,0.007894736842105263,106,2
9.6,0.09896907216494845,159,2
0.1,0.0006369426751592357,47,2
2.0,0.007017543859649123,1,2
2.4,0.012972972972972972,115,2
15.2,0.05296167247386759,36,2
1.9,0.038,165,2
2.4,0.030379746835443037,97,2
49.0,0.125,53,2
1.8,0.015384615384615385,122,2
3.5,0.04861111111111111,147,2
0.2,0.008333333333333333,131,2
0.8,0.010256410256410256,125,2
0.5,0.01282051282051282,110,2
92.0,0.22062350119904076,75,2
22.0,0.2,55,2
5.9,0.01172962226640159,87,2
0.1,0.0009615384615384616,27,2
1.6,0.021333333333333336,81,2
9.0,0.08035714285714286,69,2
0.4,0.00023923444976076556,146,2
2.3,0.01949152542372881,93,2
33.0,0.19642857142857142,121,2
82.0,0.13036565977742448,74,2
12.5,0.05458515283842795,160,2
2.9,0.049999999999999996,158,2
8.3,0.12586206896551724,169,2
0.3,0.005555555555555556,37,2
50.0,0.12165450121654502,141,2
0.9,0.05,136,2
2.0,0.3921568627450981,78,2
1.7,0.032692307692307694,107,2
86.0,0.08678102926337034,145,2
3.8,0.17272727272727273,96,2
0.9,0.010714285714285714,50,2
1.1,0.005699481865284975,77,2
0.2,0.013157894736842106,33,2
89.0,0.32014388489208634,156,2
27.0,0.08766233766233766,59,2
40.0,0.24539877300613497,155,2
1.1,0.025581395348837212,61,2
1.1,0.007913669064748202,137,2
0.1,0.004347826086956522,154,2
0.6,0.003409090909090909,30,2
0.9,0.002102803738317757,67,2
1.9,0.054285714285714284,15,2
1.2,0.0029411764705882353,140,2
0.2,0.008333333333333333,152,2
13.7,0.07405405405405405,24,2
0.8,0.011428571428571429,144,2
7.0,0.21212121212121213,34,2
7.4,0.022222222222222223,123,2
65.0,0.06190476190476191,95,2
13.6,0.016209773539928488,25,2
1.0,0.0,133,2
17.1,0.023586206896551727,3,2
0.2,0.002325581395348837,79,2
3.2,0.507936507936508,42,2
8.9,0.03647540983606558,100,2
0.4,0.001081081081081081,167,2
4.4,0.01594202898550725,139,2
6.4,0.021052631578947368,135,2
62.0,0.08732394366197183,51,2
2.9,0.004769736842105263,63,2
3.5,0.018617021276595744,129,2
0.4,0.001413427561837456,84,2
28.0,0.13592233009708737,2,2
78.0,0.10290237467018469,20,2
12.9,0.16973684210526316,170,2
49.0,0.1022964509394572,118,2
0.6,0.03,143,2
21.0,0.07749077490774908,39,2
10.6,0.08688524590163935,134,2
0.2,0.0011111111111111111,112,2
9.2,0.06258503401360543,109,2
0.6,0.006382978723404255,86,2
0.7,0.047619047619047616,32,2
74.0,0.1942257217847769,52,2
0.9,0.0033707865168539327,168,2
19.2,0.24615384615384614,56,2
0.5,0.0058823529411764705,153,2
0.4,0.018181818181818184,80,2
66.0,0.42038216560509556,70,2
0.6,0.017142857142857144,92,2
9.2,0.021800947867298578,161,2
0.8,0.002416918429003021,35,2
0.3,0.0062499999999999995,65,2
0.9,0.0058823529411764705,88,2
3.7,0.10571428571428572,41,2
0.4,0.0003913894324853229,38,2
0.3,0.028846153846153844,66,2
1.0,0.0008802816901408451,49,2
3.2,0.1032258064516129,94,2
99.0,0.4230769230769231,21,2
2.4,0.0077170418006430866,99,2
